angle [deg]	counting rate [cps]
20.00	44.45
20.50	52.25
21.00	52.24
21.50	47.92
22.00	45.90
22.50	40.80
23.00	40.60
23.50	39.20
24.00	43.68
24.50	37.60
25.00	39.61
25.50	35.84
26.00	35.08
26.50	39.05
27.00	35.31
27.50	31.18
28.00	35.52
28.50	37.12
29.00	126.19
29.50	150.99
30.00	201.12
30.50	199.81
31.00	211.09
31.50	118.45
32.00	61.25
32.50	111.47
33.00	331.89
33.50	878.85
34.00	1060.08
34.50	878.37
35.00	350.45
35.50	68.16
36.00	47.06
36.50	49.07
37.00	42.02
37.50	35.25
38.00	41.03
38.50	41.57
39.00	38.09
39.50	36.64
40.00	44.53
40.50	41.98
41.00	42.42
41.50	41.09
42.00	39.57
42.50	36.55
43.00	38.19
43.50	34.46
44.00	39.53
44.50	35.06
45.00	33.69
45.50	35.66
46.00	33.28
46.50	35.18
47.00	32.04
47.50	29.45
48.00	28.85
48.50	30.23
49.00	32.07
49.50	25.37
50.00	24.60

